"time","year","month","usa_imp_sa"
"2005-01","2005","01",132065
"2005-02","2005","02",134921
"2005-03","2005","03",130902
"2005-04","2005","04",137129
"2005-05","2005","05",135665
"2005-06","2005","06",137614
"2005-07","2005","07",137423
"2005-08","2005","08",139189
"2005-09","2005","09",143958
"2005-10","2005","10",148676
"2005-11","2005","11",146650
"2005-12","2005","12",149264
"2006-01","2006","01",152919
"2006-02","2006","02",148596
"2006-03","2006","03",150759
"2006-04","2006","04",151278
"2006-05","2006","05",154996
"2006-06","2006","06",155279
"2006-07","2006","07",156232
"2006-08","2006","08",159838
"2006-09","2006","09",157913
"2006-10","2006","10",153411
"2006-11","2006","11",154406
"2006-12","2006","12",158312
"2007-01","2007","01",156000
"2007-02","2007","02",155097
"2007-03","2007","03",161806
"2007-04","2007","04",159655
"2007-05","2007","05",161050
"2007-06","2007","06",163137
"2007-07","2007","07",163679
"2007-08","2007","08",163444
"2007-09","2007","09",164883
"2007-10","2007","10",166868
"2007-11","2007","11",171602
"2007-12","2007","12",169741
"2008-01","2008","01",175412
"2008-02","2008","02",179496
"2008-03","2008","03",175126
"2008-04","2008","04",182776
"2008-05","2008","05",183767
"2008-06","2008","06",186963
"2008-07","2008","07",194334
"2008-08","2008","08",186261
"2008-09","2008","09",175833
"2008-10","2008","10",174067
"2008-11","2008","11",150372
"2008-12","2008","12",139234
"2009-01","2009","01",129116
"2009-02","2009","02",121807
"2009-03","2009","03",121885
"2009-04","2009","04",120572
"2009-05","2009","05",118736
"2009-06","2009","06",122156
"2009-07","2009","07",129912
"2009-08","2009","08",128770
"2009-09","2009","09",136267
"2009-10","2009","10",139309
"2009-11","2009","11",143475
"2009-12","2009","12",147620
"2010-01","2010","01",146808
"2010-02","2010","02",150520
"2010-03","2010","03",153982
"2010-04","2010","04",153706
"2010-05","2010","05",158128
"2010-06","2010","06",162202
"2010-07","2010","07",159664
"2010-08","2010","08",164528
"2010-09","2010","09",163835
"2010-10","2010","10",165302
"2010-11","2010","11",164893
"2010-12","2010","12",170290
"2011-01","2011","01",178698
"2011-02","2011","02",174228
"2011-03","2011","03",181256
"2011-04","2011","04",181060
"2011-05","2011","05",185321
"2011-06","2011","06",185391
"2011-07","2011","07",185822
"2011-08","2011","08",185727
"2011-09","2011","09",185718
"2011-10","2011","10",186685
"2011-11","2011","11",187195
"2011-12","2011","12",190853
"2012-01","2012","01",191550.695566178
"2012-02","2012","02",186726.53279955
"2012-03","2012","03",196615.375406
"2012-04","2012","04",192329.297392469
"2012-05","2012","05",191026.564856353
"2012-06","2012","06",188829.751256966
"2012-07","2012","07",187644.617534558
"2012-08","2012","08",187209.20583508
"2012-09","2012","09",188747.894052944
"2012-10","2012","10",185822.273399372
"2012-11","2012","11",192148.259164916
"2012-12","2012","12",187616.679934614
"2013-01","2013","01",189809.286743494
"2013-02","2013","02",192655.256873103
"2013-03","2013","03",183966.667725685
"2013-04","2013","04",188166.353303971
"2013-05","2013","05",190945.640220082
"2013-06","2013","06",186853.700833808
"2013-07","2013","07",187817.081221545
"2013-08","2013","08",188180.379091783
"2013-09","2013","09",191294.858643186
"2013-10","2013","10",191086.941606565
"2013-11","2013","11",189221.421851066
"2013-12","2013","12",187989.145507712
"2014-01","2014","01",191306.59605
"2014-02","2014","02",192299.48865
"2014-03","2014","03",198508.05776
"2014-04","2014","04",200137.50219
"2014-05","2014","05",197948.02898
"2014-06","2014","06",195901.55087
"2014-07","2014","07",196925.2261
"2014-08","2014","08",196015.00945
"2014-09","2014","09",197636.47177
"2014-10","2014","10",197725.52563
"2014-11","2014","11",194642.79005
"2014-12","2014","12",197309.82486
"2015-01","2015","01",190171.85212
"2015-02","2015","02",183240.4108
"2015-03","2015","03",197890.19207
"2015-04","2015","04",190462.05091
"2015-05","2015","05",187594.82327
"2015-06","2015","06",190391.45661
"2015-07","2015","07",187616.63237
"2015-08","2015","08",188240.47372
"2015-09","2015","09",186751.17683
"2015-10","2015","10",183960.50767
"2015-11","2015","11",181460.86558
"2015-12","2015","12",181030.90953
"2016-01","2016","01",177648.454501018
"2016-02","2016","02",181906.766046269
"2016-03","2016","03",174726.391571589
"2016-04","2016","04",177414.397300388
"2016-05","2016","05",179919.706376869
"2016-06","2016","06",184252.812762486
"2016-07","2016","07",183228.887140422
"2016-08","2016","08",184164.50574193
"2016-09","2016","09",183338.940869424
"2016-10","2016","10",184019.318587593
"2016-11","2016","11",187014.253502
"2016-12","2016","12",189151.46630901
"2017-01","2017","01",192879.611373489
"2017-02","2017","02",189995.289384519
"2017-03","2017","03",190903.756059158
"2017-04","2017","04",192993.934790076
"2017-05","2017","05",192258.707454857
"2017-06","2017","06",192962.545511238
"2017-07","2017","07",191872.721340774
"2017-08","2017","08",192126.616925703
"2017-09","2017","09",194111.2840299
"2017-10","2017","10",196928.456767251
"2017-11","2017","11",203973.271220766
"2017-12","2017","12",208877.825476268
"2018-01","2018","01",206775.83206423
"2018-02","2018","02",210658.495642633
"2018-03","2018","03",209152.763822416
"2018-04","2018","04",208953.556837718
"2018-05","2018","05",209384.488693709
"2018-06","2018","06",209964.487334754
"2018-07","2018","07",212294.90355649
"2018-08","2018","08",213446.761617154
"2018-09","2018","09",216308.507504632
"2018-10","2018","10",216710.306169484
"2018-11","2018","11",211365.087299911
"2018-12","2018","12",215790.541003867
"2019-01","2019","01",209471.51672
"2019-02","2019","02",208905.9245
"2019-03","2019","03",212368.292555
"2019-04","2019","04",206987.898091
